ID,Component,Component Describe,Epic,Epic Describe,Story,Story Description,SP,Priority,Sprint,Release,Status,Start Date,End Date,Attach Link
US-001,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Xem danh sách nhân sự [Web/Mobile],"Với vai trò là **Quản lý Kho/Thủ kho**, tôi muốn xem danh sách nhân sự trong hệ thống trên Web và Mobile, tìm kiếm theo tên/mã nhân viên và lọc theo Plant/phòng ban/chức vụ/trạng thái.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-002,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Xem chi tiết nhân sự [Web/Mobile],"Với vai trò là **Quản lý Kho/Thủ kho**, tôi muốn xem chi tiết hồ sơ nhân sự trên Web và Mobile bao gồm lịch sử công tác và quyền hạn của nhân viên.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-003,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Sửa thông tin nhân sự [Web/Mobile],"Với vai trò là **Quản lý Kho/Thủ kho**, tôi muốn chỉnh sửa thông tin ca làm việc, Plant/Sloc phụ trách và vai trò kiêm nhiệm của nhân viên trên Web và Mobile.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-057,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Đăng ký lịch nghỉ làm [Web/Mobile],"Với vai trò là **Nhân viên kho**, tôi muốn gửi yêu cầu đăng ký lịch nghỉ làm (nghỉ phép, nghỉ ốm, nghỉ việc riêng) trên Web và Mobile để Quản lý kho duyệt.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-058,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Đăng ký làm thêm giờ [Web/Mobile],"Với vai trò là **Nhân viên kho**, tôi muốn gửi yêu cầu đăng ký làm thêm giờ (OT) trên Web và Mobile để ghi nhận ngày công tăng ca.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-069,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Tra cứu nhân sự & ca trực [Web/Mobile],"Với vai trò là **Nhân viên kho/Lái xe nâng**, tôi muốn tra cứu danh sách đồng nghiệp và thông tin ca trực tại kho trên Web và Mobile để tiện phối hợp.",2,Low,—,V1.0.0,planned,—,—,
US-004,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Xem danh sách công cụ lưu trữ [Web/Mobile],"Với vai trò là **Quản trị viên Kho/Thủ kho**, tôi muốn xem danh sách các công cụ lưu trữ hiện có (Pallet, Thùng gỗ, Thùng carton...) trên Web và Mobile.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-005,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Thêm mới công cụ lưu trữ [Web/Mobile],"Với vai trò là **Quản trị viên Kho**, tôi muốn thêm mới một loại công cụ lưu trữ mới với thông số tên, loại, mô tả, và số lượng ban đầu trên Web và Mobile.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-006,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Xem chi tiết công cụ lưu trữ [Web/Mobile],"Với vai trò là **Quản trị viên Kho/Thủ kho**, tôi muốn xem chi tiết thông số kỹ thuật, mã RFID gán cho công cụ và lịch sử xuất/nhập trên Web và Mobile.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-007,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Sửa công cụ lưu trữ [Web/Mobile],"Với vai trò là **Quản trị viên Kho**, tôi muốn chỉnh sửa tên, loại, mô tả và đơn vị tính của một công cụ lưu trữ hiện có trên Web và Mobile.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
US-008,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Nhập thêm số lượng tồn kho công cụ [Web/Mobile],"Với vai trò là **Quản trị viên Kho**, tôi muốn nhập bổ sung số lượng công cụ lưu trữ và ghi rõ lý do nhập (mua mới, hoàn trả...) trên Web và Mobile.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
