ID,Component,Component describe,Epic,Epic describe,Story,Story description,Story point,Priority,Sprint,Release,Status,Start date,End date,Attach link
1,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Danh sách lệnh nhập,"Quản lý/xử lý nghiệp vụ danh sách lệnh nhập theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
2,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Xem chi tiết lệnh nhập - Tab Thông tin hàng hóa,"Quản lý/xử lý nghiệp vụ xem chi tiết lệnh nhập theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
3,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Xem chi tiết lệnh nhập - Tab Chứng từ,"Quản lý/xử lý nghiệp vụ tab chứng từ theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",2,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
4,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Xem chi tiết lệnh nhập - Tab Task,"Quản lý/xử lý nghiệp vụ tab Task theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
5,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Xem chi tiết lệnh nhập - Tab Kết quả KCS,"Quản lý/xử lý nghiệp vụ tab Kết quả KCS theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",2,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
6,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Xem chi tiết lệnh nhập - Tab Vận chuyển,"Quản lý/xử lý nghiệp vụ tab Vận chuyển theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",2,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
7,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,Xem chi tiết lệnh nhập - Tab Lịch sử,"Quản lý/xử lý nghiệp vụ tab lịch sử theo quyền, trạng thái, processProfile và rule tích hợp đã cấu hình.",2,Low,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
8,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,[Order] Export Excel,Export danh sách order theo điều kiện tìm kiếm.,2,Low,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
9,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,[Order] Tìm kiếm nhanh,Tìm kiếm nhanh order theo mã lệnh.,2,High,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
10,Nhập kho,"Tiếp nhận order từ SAP, điều phối vận hành tại kho thông qua task, kiểm soát tiến độ theo SLA/KPI, cập nhật tồn kho và đồng bộ trạng thái về SAP.",Luồng nhập mua mới,Quy trình xử lý từ khi SAP đồng bộ order về AIWS đến khi kho hoàn thành task và đồng bộ trạng thái ngược về SAP.,[Order] Tìm kiếm nâng cao,Tìm kiếm order theo bộ điều kiện tìm kiếm.,2,Medium,sprint 1,V1.0.0,developing,01/08/2026,15/08/2026,
