ID,Component,Component describe,Epic,Epic describe,Story,Story description,Story point,Priority,Sprint,Release,Status,Start date,End date,Attach link
1,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Xem danh sách nhân sự,"Với vai trò là **Quản lý Kho/Thủ kho**, tôi muốn xem danh sách nhân sự trong hệ thống, tìm kiếm theo tên/mã nhân viên và lọc theo Plant/phòng ban/chức vụ/trạng thái, để tôi dễ dàng quản lý và phân ca làm việc.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
2,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Xem chi tiết nhân sự,"Với vai trò là **Quản lý Kho/Thủ kho**, tôi muốn xem chi tiết hồ sơ nhân sự bao gồm lịch sử công tác và quyền hạn của nhân viên, để tôi có thể đánh giá và giám sát công việc.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
3,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Sửa thông tin nhân sự,"Với vai trò là **Quản lý Kho/Thủ kho**, tôi muốn chỉnh sửa thông tin ca làm việc, Plant/Sloc phụ trách và vai trò kiêm nhiệm của nhân viên, để tôi cập nhật đúng phân công nhân sự kho thực tế.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
4,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Đăng ký lịch nghỉ làm,"Với vai trò là **Nhân viên kho**, tôi muốn gửi yêu cầu đăng ký lịch nghỉ làm (nghỉ phép, nghỉ ốm, nghỉ việc riêng) trên hệ thống, để Quản lý kho nắm bắt thông tin và phê duyệt ca trực.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
5,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Nhân sự,"Lưu trữ danh sách nhân viên kho, phân ca, lịch nghỉ, làm thêm giờ và phân quyền Plant/SLoc",Đăng ký làm thêm giờ,"Với vai trò là **Nhân viên kho**, tôi muốn gửi yêu cầu đăng ký làm thêm giờ (OT), để hệ thống ghi nhận chính xác ngày công tăng ca và phục vụ đối soát lương.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
6,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Xem danh sách công cụ lưu trữ,"Với vai trò là **Quản trị viên Kho/Thủ kho**, tôi muốn xem danh sách các công cụ lưu trữ hiện có (Pallet, Thùng gỗ, Thùng carton...) và lọc theo trạng thái/loại, để tôi nắm bắt số lượng công cụ có sẵn.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
7,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Thêm mới công cụ lưu trữ,"Với vai trò là **Quản trị viên Kho**, tôi muốn thêm mới một loại công cụ lưu trữ mới với thông số tên, loại, mô tả, và số lượng ban đầu, để chuẩn hóa công cụ đóng gói trong vận hành.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
8,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Xem chi tiết công cụ lưu trữ,"Với vai trò là **Quản trị viên Kho/Thủ kho**, tôi muốn xem chi tiết thông số kỹ thuật, mã RFID gán cho công cụ và lịch sử xuất/nhập của công cụ lưu trữ đó, để tôi theo dõi việc lưu trữ hàng hóa.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
9,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Sửa công cụ lưu trữ,"Với vai trò là **Quản trị viên Kho**, tôi muốn chỉnh sửa tên, loại, mô tả và đơn vị tính của một công cụ lưu trữ hiện có, để bảo trì tính chính xác của dữ liệu.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
10,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Công cụ lưu trữ (CCLT),"Chuẩn hóa thông số Pallet, thùng chứa, bao bì đóng gói và thẻ RFID",Nhập thêm số lượng tồn kho công cụ,"Với vai trò là **Quản trị viên Kho**, tôi muốn nhập bổ sung số lượng công cụ lưu trữ và ghi rõ lý do nhập (mua mới, hoàn trả...), để ghi nhận tồn kho công cụ thực tế chính xác.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
11,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Sản phẩm,Đồng bộ danh mục sản phẩm từ SAP và lưu cấu hình đóng gói,Đồng bộ sản phẩm từ SAP,"Với vai trò là **Hệ thống/Thủ kho**, tôi muốn tự động hoặc chủ động đồng bộ danh mục sản phẩm từ SAP về hệ thống AIWS, để dữ liệu SKU sản phẩm luôn đồng nhất và tránh tạo trùng lắp.",3,High,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
12,Danh mục,Quản lý dữ liệu tĩnh/tham chiếu dùng chung,Quản lý Sản phẩm,Đồng bộ danh mục sản phẩm từ SAP và lưu cấu hình đóng gói,Xem danh sách sản phẩm,"Với vai trò là **Thủ kho/Nhân viên kho**, tôi muốn xem danh sách sản phẩm, tìm kiếm theo tên/mã sản phẩm và lọc theo danh mục, để tôi nắm rõ các mặt hàng lưu kho.",2,Medium,sprint 2,V1.0.0,committed,16/08/2026,30/08/2026,
