ID,Tên testcase,Tên testsuite common,Mã test suite common,Trạng thái,Các bước thực hiện,Mong muốn
8906,Kiểm tra lịch sử chat đơn khi cửa sổ chat chưa có bất kỳ tin nhắn nào , 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"1. A lần đầu mở cửa sổ chat đơn với B nhưng không nhắn tin
2. Kiểm tra hiển thị trên màn hình
3. Thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","2. Hiển thị màn hình trống/ thông báo không có tin nhắn
3. Không thể thực hiện kéo xuống để Tải thêm tin nhắn"
8907,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn chỉ có [n -1] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"Từ màn hình Danh sách chat đơn, chọn 1 bản ghi đã chat
1. Kiểm tra hiển thị trên màn hình
2. Thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","1. Hiển thị đầy đủ nội dung [n-1] tin nhắn trên cửa sổ chat
3. Không thể thực hiện kéo xuống để Tải thêm tin nhắn"
8908,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn chỉ có [n] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"1. Kiểm tra hiển thị trên màn hình
2. Thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","1. Hiển thị đầy đủ nội dung [n] tin nhắn trên cửa sổ chat
3. Không thể thực hiện kéo xuống để Tải thêm tin nhắn"
8909,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn chỉ có [n+1] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"1. Kiểm tra hiển thị trên màn hình
2. Thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","1. Hiển thị đầy đủ nội dung [n] tin nhắn sau cùng trên cửa sổ chat
2.Hiển thị thêm tin nhắn đầu tiên --&gt; Cửa sổ chat hiện tại, có [n+1] tin nhắn"
8910,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn chỉ có [n+1] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,3. Thực hiện kéo xuống lần nữa để Tải thêm tin nhắn trên cửa sổ chat,3. Không thể thực hiện kéo xuống để Tải thêm tin nhắn
8911,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn có [n+m-1] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"1. Kiểm tra hiển thị trên màn hình
2. Thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","1. Hiển thị đầy đủ nội dung [n] tin nhắn sau cùng trên cửa sổ chat
2. Hiển thị thêm [m-1] tin nhắn trước đó --&gt; Cửa sổ chat hiện tại, có [n+m-1] tin nhắn"
8912,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn có [n+m-1] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,3. Thực hiện kéo xuống lần nữa để Tải thêm tin nhắn trên cửa sổ chat,3. Không thể thực hiện kéo xuống để Tải thêm tin nhắn
8913,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn có [n+m] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"1. Kiểm tra hiển thị trên màn hình
2. Thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","1. Hiển thị đầy đủ nội dung [n] tin nhắn sau cùng trên cửa sổ chat
2. Hiển thị thêm [m] tin nhắn trước đó --&gt; Cửa sổ chat hiện tại, có [n+m] tin nhắn"
8914,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn có [n+m] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,3. Thực hiện kéo xuống lần nữa để Tải thêm tin nhắn trên cửa sổ chat,3. Không thể thực hiện kéo xuống để Tải thêm tin nhắn
8915,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn có [n+m+1] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"1. Kiểm tra hiển thị trên màn hình
2. Thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","1. Hiển thị đầy đủ nội dung [n] tin nhắn sau cùng trên cửa sổ chat
2. Hiển thị thêm [m] tin nhắn trước đó --&gt; Cửa sổ chat hiện tại, có [n+m] tin nhắn"
8916,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn có [n+m+1] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,3. Thực hiện kéo xuống lần nữa để Tải thêm tin nhắn trên cửa sổ chat,3. Hiển thị thêm tin nhắn đầu tiên --&gt; Cửa sổ chat hiện tại có [n+m+1] tin nhắn
8917,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn có [n+m+1] tin nhắn, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,4. Thực hiện kéo xuống lần nữa để Tải thêm tin nhắn trên cửa sổ chat,4. Không thể thực hiện kéo xuống để Tải thêm tin nhắn
8918,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn có rất nhiều tin nhắn (>500 tin nhắn), 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"1. Kiểm tra hiển thị trên màn hình
2. Thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","1. Hiển thị đầy đủ nội dung [n] tin nhắn sau cùng trên cửa sổ chat
2. Hiển thị thêm [m] tin nhắn trước đó --&gt; Cửa sổ chat hiện tại, có [n+m] tin nhắn"
8919,Kiểm tra hiển thị tin nhắn khi lịch sử chat đơn có rất nhiều tin nhắn (>500 tin nhắn), 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,3. Lặp bước 2 nhiều lần đến hết lịch sử chat ,3. Hiển thị đầy đủ lịch sử chat của người dùng
8920,Kiểm tra hiển thị lịch sử tin nhắn khi có tin nhắn mới đến, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"Điều kiện: A có nhiều lịch sử tin nhắn với B(&gt;100 tin)
1. A mở cửa sổ chat đơn với B, Kiểm tra hiển thị trên màn hình
2. B gửi [x]  tin nhắn mới  tới A
3. A thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","1. Hiển thị đầy đủ nội dung [n] tin nhắn sau cùng trên cửa sổ chat
2. Trên cửa sổ chat của A, hiện tại có [n+x] tin nhắn sau cùng
3. Hiển thị thêm [m - x] tin nhắn trước đó --&gt; Cửa sổ chat hiện tại, có [n+m] tin nhắn"
8921,Kiểm tra hiển thị lịch sử chat đơn khi on/off mạng, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"Điều kiện: Đang có kết nối mạng
1. Kiểm tra hiển thị trên màn hình
2. Tắt kết nối mạng 
3. Thực hiện kéo xuống để Tải thêm tin nhắn trên cửa sổ chat","1. Hiển thị đầy đủ nội dung [n] tin nhắn sau cùng trên cửa sổ chat
3. Hiển thị thông báo Mất kết nối mạng
Không hiển thị thêm những tin nhắn trước (chỉ hiển thị [n] tin nhắn sau cùng"
8922,Kiểm tra hiển thị lịch sử chat đơn khi on/off mạng, 4: Kiểm tra Xem lịch sử chat đơn,Suite_common_257,1,"4. Bật lại kết nối mạng
5. Kéo xuống lại Tải thêm tin nhắn trên cửa sổ chat","3. Tải thêm tin nhắn thành công
Hiển thị thêm [m] tin nhắn trước đó --&gt; Cửa sổ chat hiện tại, có [n+m] tin nhắn"
