ID,Tên testcase,Tên testsuite common,Mã test suite common,Trạng thái,Các bước thực hiện,Mong muốn
8812,"Kiểm tra link [quên mật khẩu] luôn hiển thị trên màn hình đăng nhập
(Chọn 1 trường hợp theo yêu cầu nghiệp vụ cũa DTYC)", 2: Lấy mã xác nhận,Suite_common_212,1,"Trường hợp DTYC mô tả Link luôn hiển thị tại màn hình:
1. Tại màn hình đăng nhập kiểm tra hiển thị link [Quên mật khẩu]",Hiển thị link [Quên mật khẩu] ngay trên màn hình  Đăng nhập
8813,"Kiểm tra hiển thị link [Quên mật khẩu] khi đăng nhập sai n lần liên tiếp
'Trường hợp đăng nhập sai quá n lần  mới hiển thị link [Quên mật khẩu] 
(N là số lần đăng nhập sai tối đa cho phép)", 2: Lấy mã xác nhận,Suite_common_212,1,"
1. Thực hiện đăng nhập sai n lần liên tiếp 
2. Kiểm tra hiển thị link [Quên mật khẩu] 
","Hiển thị thông báo: ""Bạn nhập sai thông tin đăng nhập. "" và Không hiển thị link quên mật khẩu.

"
8814,"Kiểm tra hiển thị link [Quên mật khẩu] khi đăng nhập sai n+1 lần liên tiếp
'Trường hợp đăng nhập sai quá n lần  mới hiển thị link [Quên mật khẩu] ", 2: Lấy mã xác nhận,Suite_common_212,1,"Đảm bảo đã đăng nhập sai n lần liên tiếp: 
1. Thực hiện đăng nhập lần thứ n+1 sai
2. Kiểm tra hiển thị link [Quên mật khẩu] ","Hiển thị thông báo: Đã đăng nhập sai quá n lần. 
Hiển thị link quên mật khẩu"
8815,"Kiểm tra không hiển thị link quên mật khẩu khi lần thứ n và đăng nhập account khác
'Trường hợp đăng nhập sai quá n lần  mới hiển thị link [Quên mật khẩu]  ", 2: Lấy mã xác nhận,Suite_common_212,1,"1. Đã nhập sai n+1 lần liên tiếp cũa user 1
2. Đăng nhập user 2","1. Hiển thị link quên mật khẩu 
2. Ẩn link [Quên mật khẩu]"
8816,"Kiểm tra  hiển thị link [Quên mật khẩu] có phân biệt các lần đăng nhập sai của các user khác nhau
Trường hợp đăng nhập sai quá n lần  mới hiển thị link [Quên mật khẩu] ", 2: Lấy mã xác nhận,Suite_common_212,1,"1. User 1 đăng nhập sai n lần
2. User 2 đăng nhập sai  ",Không thiển thị link quên mật khẩu.
8817,"Kiểm tra 1 tài khoản đăng nhập 2 máy và tổng lần đăng nhập sai quá n lần
'Trường hợp đăng nhập sai quá n lần  mới hiển thị link [Quên mật khẩu] ", 2: Lấy mã xác nhận,Suite_common_212,1,"VD: n=5
1. User 1 đăng nhập máy 1 sai 3 lần
2. User 1 đăng nhập máy 2 sai 2 lần
3 Kiểm tra lưu DB hoặc request gửi đi mỗi lần đăng nhập sai
4. User 2 đăng nhập sai lần thứ 3
5. Kiểm tra hiển thị link [Quên mật khẩu]","- Nếu request gửi đi chỉ phụ thuộc thông tin user, và các lần đăng nhập sai cũa 1 user được cộng dồn thì KQMM: Hiển thị link quên mật khẩu tại màn hình đăng nhập cũa user 2.
- Nếu không công dồn số l ần đăng nhập sai cũa user mà còn phụ thuộc vào mã code cũa máy thì KQMM: Không có link quên mật khẩu ở màn hình đăng nhập cũa user 2."
8818,"Kiểm tra gửi thông tin quên mật khẩu thành công khi nhập dữ liệu tối đa tại các trường
 (Tùy theo yêu cầu, có thể sử dụng email hoặc số điện thoại để nhận tin nhắn mã xác nhận)", 2: Lấy mã xác nhận,Suite_common_212,1,"Đảm bảo số lần gởi request &lt; 5. 
Tồn tại tên đăng nhập, email có độ dài maxleght.
1. Nhập dữ liệu hợp lệ có độ dài maxleght vào các trường 
2. Nhấn button [Gửi thông tin]
3. Kiểm tra tin nhắn vừa được gửi tới số điện thoại (Hoặc email) vừa nhập","2. Hiển thị popup reset mật khẩu
3. Thông tin gửi đi thành công. Có tin nhắn gửi mã xác nhận về số điện thoại (hoặc Email) đã nhập"
8819,"Kiểm tra gửi thông tin quên mật khẩu thành công khi khi nhập dữ liệu đúng tại các trường và số lần gửi request <=5 lần trong ngày 
 (Tùy theo yêu cầu, có thể sử dụng email hoặc số điện thoại để nhận tin nhắn mã xác nhận)", 2: Lấy mã xác nhận,Suite_common_212,1,"1. Nhập dữ liệu hợp lệ và có tồn tại trên hệ thống vào các trường
2. Nhấn button [Gửi thông tin]
3. Kiểm tra tin nhắn vừa được gửi tới số điện thoại (Hoặc email) vừa nhập
4. Lặp lại bước 1,2,3 liên tụcthêm  4 lần  trong ngày

","2. Hiển thị popup reset mật khẩu
3. Thông tin gửi đi thành công. Có tin nhắn gửi mã xác nhận về số điện thoại (hoặc Email) đã nhập. 
4. 'Gửi thông tin thành công trong cả 4 lần gửi và nhận được thêm 4 tin nhắn mã xác nhận về điện thoại (Email) đã nhập"
8820,Kiểm tra chỉ gửi được thông tin quên mật khẩu để lấy mã xác nhận 5 lần trong ngày , 2: Lấy mã xác nhận,Suite_common_212,1,"1. Nhập dữ liệu hợp lệ và có tồn tại trên hệ thống vào các trường
2. Nhấn button [Gửi thông tin] 
3.  Lặp lại bước 1,2,3 liên tục 6 lần  trong ngày
4 . Kiểm tra tin nhắn vừa được gửi tới số điện thoại (Hoặc email)  vừa nhập
","Chỉ nhận được 5 tin nhắn.
Lần gửi request lần thứ 6 thực hiện không thành công. Thông báo đã gửi request quá 5 lần trong ngày"
8821,Kiểm tra chỉ gửi được thông tin quên mật khẩu để lấy mã xác nhận 5 lần trong ngày , 2: Lấy mã xác nhận,Suite_common_212,1,5. Để qua ngày hôm sau thực hiện gửi request lấy thông tin quên mật khẩu ," Hiển thị popup reset mật khẩu
Thực hiện gửi thành công, có tin nhắn mã xác nhận về điện thoại hoặc email đã nhập
"
