ID,Tên testcase,Tên testsuite common,Mã test suite common,Trạng thái,Các bước thực hiện,Mong muốn
8666,Trường hợp đồng bộ các bản ghi : dữ liệu chỉ có ở các trường có thiết kế là not null, 4: Kiểm tra chi tiết dữ liệu được đồng bộ lần đầu về ở các bảng ,Suite_common_197,1,"Chuẩn bị: các bản ghi chỉ có dữ liệu ở các trường khi thiết kế yêu cầu not null

1. Kiểm tra dữ liệu sau khi đồng bộ
2. Script : câu lệnh so sánh dữ liệu giữa DB server và DB client sau khi đồng bộ","Đồng bộ toàn bộ dữ liệu bảng Can bo (các row, column đều phải giống bản gốc trên DB server)

Khi mở DB trên SQL lite Manger của FF , các trường không có giá trị , hiển thị highlight màu hồng

Số lượng bản ghi giữa DB server và Client phải giống nhau theo đúng điều kiện đồng bộ"
8667,"Trường hợp đồng bộ các bản ghi : dữ liệu có ở tất cả các trường, dữ liệu đầy đủ theo maxlength của trường trên DB server", 4: Kiểm tra chi tiết dữ liệu được đồng bộ lần đầu về ở các bảng ,Suite_common_197,1,"Chuẩn bị: dữ liệu ở bảng cần đồng bộ ở DB server:
+ có dữ liệu ở tất cả các trường với độ dài tối đa theo maxlength
+ trường text : tiếng việt có dấu
+ trường date : đúng định dạng theo yêu cầu
+ trường trạng thái : có đầy đủ các trạng thái theo yêu cầu

1. Kiểm tra dữ liệu sau khi đồng bộ
2. Script : câu lệnh so sánh dữ liệu giữa DB server và DB client sau khi đồng bộ","Đồng bộ toàn bộ dữ liệu bảng Can bo (các row, column đều phải giống bản gốc trên DB server)

Số lượng bản ghi giữa DB server và Client phải giống nhau theo đúng điều kiện đồng bộ"
8668,Kiểm tra đồng bộ số lượng bản ghi max nhất có thể tạo được dữ liệu tại thời điểm test ( confirm lại với dev và giải pháp để đưa ra con số test), 4: Kiểm tra chi tiết dữ liệu được đồng bộ lần đầu về ở các bảng ,Suite_common_197,1,"Chuẩn bị : chuẩn bị dữ liệu tối đa có thể ở bảng dữ liệu ở DB server:
1. Kiểm tra dữ liệu sau khi đồng bộ
2. Script : câu lệnh so sánh dữ liệu giữa DB server và DB client sau khi đồng bộ","Đồng bộ toàn bộ dữ liệu bảng Can bo (các row, column đều phải giống bản gốc trên DB server)

Số lượng bản ghi giữa DB server và Client phải giống nhau theo đúng điều kiện đồng bộ"
8669,Kiểm tra thực hiện đồng bộ dữ liệu khi DB server không có dữ liệu nào, 4: Luồng đông bộ lần đầu,Suite_common_197,1,"Đảm bảo có kết nối mạng. 
DB server bảng dữ liệu cần đồng bộ ko có dữ liệu

1. Đăng nhập lần đầu vào hệ thống ","1. Hệ thống không thực hiện đồng bộ dữ liệu thành công cho tất cả các bảng dữ liệu
2. Kiểm tra CSDL:
*sync_log: không tác động 
( Hoặc vẫn tác động insert các bảng tương ứng cần đồng bộ vào tùy DTYC)
"
8670,Kiểm tra thực hiện đồng bộ dữ liệu khi DB server đã có dữ liệu, 4: Luồng đông bộ lần đầu,Suite_common_197,1,"Đảm bảo có kết nối mạng. 
DB server bảng dữ liệu cần đồng bộ  có dữ liệu

1. Đăng nhập lần đầu vào hệ thống ","1. Hệ thống thực hiện đồng bộ dữ liệu thành công cho tất cả các bảng dữ liệu
2. Kiểm tra CSDL:
* các bảng dữ liệu được đồng bộ : có dữ liệu được đồng bộ về đầy đủ theo DB server
*sync_log: insert các bản ghi , ghi log đồng bộ

"
8671,Kiểm tra thực hiện đồng bộ dữ liệu khi DB server đã có dữ liệu, 4: Luồng đông bộ lần đầu,Suite_common_197,1,"Không có kết nối mạng
DB server bảng dữ liệu cần đồng bộ  có dữ liệu


1. Đăng nhập lần đầu vào hệ thống","1. Không đăng nhập thành công.
2. Thông báo lỗi mất kết nói mạng
3. Kiểm tra CSDL: 
* các bảng dữ liệu được đồng bộ : không có dữ liệu
*sync_log: không tác động"
8672,Kiểm tra thực hiện đồng bộ khi user đăng nhập các lần sau, 4: Luồng đông bộ các lần đăng nhập sau,Suite_common_197,1,"Đảm bảo có kết nối mạng.
Có sự thay đổi dữ liệu từ DB server, kể từ lần đăng nhập trước.
1. Đăng nhập vào hệ thống","1. Hệ thống thực hiện đồng bộ dữ liệu thành công:
2. Kiểm tra cập nhật bảng : 
* Kiểm tra từng bảng dữ liệu được đồng bộ: Tương ứng với mỗi bảng trong syn_log, lấy giá trị timestamp để gửi lên yêu cầu lên DBserver : lấy các bản ghi của bảng có trường last_update_time &gt; timestamp để đồng bộ vể. Order các bản ghi đồng bộ theo ngày last_update_time từ xa đến gần ( đồng bộ các bản ghi cũ nhất trước)
* Bảng syn_log: Tương ứng với bản ghi của Bảng dữ liệu có bản ghi được đồng bộ về db Client cập nhật:
timestamp :  = last_update_date của bản ghi cuối cùng được đồng bộ của bảng dữ liệu





"
8673,Kiểm tra thực hiện đồng bộ khi user đăng nhập các lần sau, 4: Luồng đông bộ các lần đăng nhập sau,Suite_common_197,1,"Đảm bảo không có kết nối mạng
Có sự thay đổi dữ liệu từ DB server, kể từ lần đăng nhập trước
1. Đăng nhập vào hệ thống","1. Hệ thống đăng nhập thành công và không thực hiện đồng bộ dữ liệu
2. Kiểm tra cập nhật bảng syn_log: 
timestamp : không cập nhật bằng sysdate của DB server, vẫn giữ nguyên giá trị cũ

"
8674,Kiểm tra không cập nhật đồng bộ khi không có sự thay đổi dữ liệu về phía DB server, 4: Luồng đông bộ các lần đăng nhập sau,Suite_common_197,1,"Đảm bảo : tất cả các bảng dữ liệu ở DB server đều có last_update_date &lt; syn_log.timestamp của mỗi bảng  ( Client) - không có sự thay đổi dữ liệu kể từ lần đăng nhập cuối cùng
1. Đăng nhập thành công","1. Không thực hiện đồng bộ dữ liệu
2. Kiểm tra bảng sysn_log : không cập nhật dữ liệu bất kỳ bản ghi nào"
8675,Kiểm tra cập nhật đồng bộ khi chỉ có 1 bảng CSDL có sự thay đổi dữ liệu về phía DB server, 4: Luồng đông bộ các lần đăng nhập sau,Suite_common_197,1,"Đảm bảo : chỉ có 1 bảng có  dữ liệu thay đổi có trường last_update_date &gt; syn_log.timestamp - có sự thay đổi dữ liệu
1. Đăng nhập thành công","1. Chỉ đồng bộ bảng có dữ liệu thay đổi và cập nhật syn_log.timestamp của bảng đó
2. Các bản khác ko cập nhật gì và không cập nhật  syn_log.timestamp "
